Plant-only validator
dt=0.0100 s, duration=20.00 s, steps=2000
Columns: t  x  y  yaw_deg  v_mps  steer_deg  fl_deg  fr_deg  motor_nm  brake_pct
0.01  0.00  0.00  0.00  0.17  0.00  0.00  0.00  1200  0.0
0.11  0.11  0.00  0.03  1.84  1.25  1.26  1.25  1200  0.0
0.20  0.35  0.00  0.20  3.33  2.36  2.39  2.34  1200  0.0
0.30  0.76  0.00  0.64  4.61  3.56  3.63  3.50  1200  0.0
0.40  1.27  0.01  1.42  5.60  4.71  4.82  4.60  1200  0.0
0.50  1.88  0.03  2.58  6.43  5.78  5.95  5.61  1200  0.0
0.60  2.56  0.07  4.13  7.17  6.75  6.99  6.53  1200  0.0
0.70  3.31  0.14  6.09  7.83  7.62  7.92  7.35  1200  0.0
0.80  4.13  0.24  8.46  8.45  8.38  8.74  8.04  1200  0.0
0.90  4.99  0.39  11.21  9.02  8.99  9.41  8.61  1200  0.0
1.00  5.90  0.59  14.32  9.55  9.47  9.94  9.05  1200  0.0
1.10  6.84  0.86  17.75  10.06  9.80  10.30  9.35  1200  0.0
1.20  7.82  1.20  21.44  10.54  9.97  10.49  9.50  1200  0.0
1.30  8.81  1.63  25.33  11.00  9.99  10.51  9.52  1200  0.0
1.40  9.81  2.14  29.36  11.44  9.85  10.35  9.39  1200  0.0
1.50  10.81  2.74  33.44  11.87  9.55  10.02  9.12  1200  0.0
1.60  11.80  3.44  37.50  12.28  9.10  9.53  8.71  1200  0.0
1.70  12.76  4.23  41.45  12.68  8.51  8.88  8.17  1200  0.0
1.80  13.70  5.12  45.22  13.06  7.78  8.10  7.50  1200  0.0
1.90  14.61  6.08  48.71  13.43  6.94  7.18  6.71  1200  0.0
2.00  15.48  7.13  51.84  13.79  5.98  6.16  5.81  1200  0.0
2.11  16.41  8.36  54.80  14.18  4.82  4.94  4.70  1200  0.0
2.21  17.21  9.55  56.95  14.52  3.68  3.75  3.61  1200  0.0
2.31  18.00  10.80  58.54  14.86  2.49  2.52  2.46  1200  0.0
2.41  18.77  12.08  59.52  15.18  1.25  1.26  1.25  1200  0.0
2.51  19.55  13.41  59.82  15.50  0.00  0.00  0.00  1200  0.0
2.61  20.34  14.76  59.44  15.82  -1.25  -1.25  -1.26  1200  0.0
2.71  21.16  16.13  58.33  16.12  -2.49  -2.46  -2.52  1200  0.0
2.81  22.03  17.51  56.50  16.42  -3.68  -3.61  -3.75  1200  0.0
2.91  22.98  18.87  53.94  16.72  -4.82  -4.70  -4.94  1200  0.0
3.01  23.99  20.20  50.92  16.74  -5.88  -5.71  -6.05  0  0.0
3.11  25.08  21.48  47.90  16.73  -6.85  -6.62  -7.09  0  0.0
3.21  26.23  22.69  44.88  16.72  -7.71  -7.42  -8.01  0  0.0
3.31  27.44  23.84  41.85  16.72  -8.44  -8.10  -8.81  0  0.0
3.41  28.71  24.93  38.82  16.71  -9.05  -8.66  -9.47  0  0.0
3.51  30.04  25.94  35.79  16.70  -9.51  -9.08  -9.98  0  0.0
3.61  31.41  26.89  32.76  16.69  -9.82  -9.37  -10.32  0  0.0
3.71  32.84  27.76  29.73  16.69  -9.98  -9.51  -10.50  0  0.0
